CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,P25_VALUE,MEDIAN_VALUE,P75_VALUE,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
1125315,acetaminophen,814,0.6904, 1.6,7,14,28,1,1
1713332,amoxicillin,319,0.2706, 1.2,14,14,21,1,2
1177480,ibuprofen,295,0.2502, 1.2,14,21,60,1,2
1759842,clavulanate,242,0.2053, 1.2,7,14,21,1,2
1308216,lisinopril,235,0.1993, 1.0,4051,10759,15923,1,3
1332418,amlodipine,224,0.1900, 1.0,3710,9275,15582,1,3
1115008,naproxen,221,0.1874, 1.1,0,21,30,1,3
1549786,ethinyl estradiol,201,0.1705, 1.6,360,360,360,1,1
974166,hydrochlorothiazide,192,0.1628, 1.0,4422,10017,14840,1,3
19127890,inert ingredients,178,0.1510, 1.6,360,360,360,1,1
1301025,enoxaparin,172,0.1459, 1.0,0,6,9,1,3
1521369,norethindrone,164,0.1391, 1.7,360,360,360,1,1
1539403,simvastatin,164,0.1391, 1.0,1861,4081,8395,1,4
1589505,levonorgestrel,163,0.1383, 1.4,360,360,367,1,1
1174888,hydrocodone,162,0.1374, 1.4,0,21,259,2,1
1729720,penicillin V,142,0.1204, 1.1,8,10,11,2,3
738818,doxylamine,140,0.1187, 1.1,7,7,14,2,3
1119510,dextromethorphan,140,0.1187, 1.1,7,7,14,2,3
1343916,epinephrine,122,0.1035, 1.0,0,0,0,2,4
1519936,etonogestrel,115,0.0975, 1.3,360,362,365,2,2
1124957,oxycodone,115,0.0975, 1.5,24,66,2126,2,1
1154343,albuterol,109,0.0925, 1.0,0,5,9763,2,4
1500211,medroxyprogesterone,99,0.0840, 1.2,361,364,365,2,2
1322184,clopidogrel,83,0.0704, 1.1,0,707,2618,2,3
1149380,fluticasone,77,0.0653, 1.0,3710,9275,15610,2,4
1515774,norgestimate,74,0.0628, 1.2,360,360,360,2,2
1548195,estradiol,71,0.0602, 1.2,360,360,360,2,2
1512674,drospirenone,71,0.0602, 1.1,360,360,360,2,3
19054876,dienogest,71,0.0602, 1.2,360,360,360,3,2
1361711,nitroglycerin,60,0.0509, 1.0,1113,2968,4081,3,4
1741122,tazobactam,53,0.0449, 1.0,0,0,0,3,4
1503297,metformin,53,0.0449, 1.0,3430,8162,11886,3,4
1746114,piperacillin,53,0.0449, 1.0,0,0,0,3,4
1102527,meperidine,52,0.0441, 1.0,18,40,50,3,4
1557272,alendronate,50,0.0424, 1.0,0,0,0,3,4
1707687,vancomycin,48,0.0407, 1.0,0,0,0,3,4
1107830,loratadine,46,0.0390, 1.0,0,0,0,3,4
1396131,ferrous sulfate,44,0.0373, 1.0,0,0,0,3,4
1778162,cefuroxime,43,0.0365, 1.0,14,14,14,3,4
1326303,digoxin,42,0.0356, 1.0,595,2968,4970,3,5
1310149,warfarin,42,0.0356, 1.0,595,2968,4970,3,5
1307863,verapamil,42,0.0356, 1.0,595,2968,4970,3,5
920293,nitrofurantoin,42,0.0356, 1.2,7,7,7,4,2
933724,phenazopyridine,42,0.0356, 1.2,7,7,7,4,2
1308738,vitamin B12,37,0.0314, 1.0,0,0,0,4,5
956874,furosemide,37,0.0314, 1.1,271,409,763,4,3
1153428,fexofenadine,37,0.0314, 1.0,0,0,0,4,5
1596977,"insulin, regular, human",36,0.0305, 1.0,2345,7056,11144,4,5
46221581,insulin isophane,36,0.0305, 1.0,2345,7056,11144,4,5
1347450,alteplase,34,0.0288, 1.1,0,0,0,4,3
1154029,fentanyl,27,0.0229, 1.0,2082,2190,2331,4,5
1129625,diphenhydramine,26,0.0220, 1.0,0,0,0,4,5
1518198,norelgestromin,25,0.0212, 1.0,360,360,360,4,5
1137529,salmeterol,25,0.0212, 1.0,2590,4081,9842,4,5
757627,galantamine,24,0.0204, 1.0,300,330,630,4,5
1192710,chlorpheniramine,24,0.0204, 1.0,0,0,0,4,5
975125,hydrocortisone,23,0.0195, 1.1,0,0,14,5,3
1318011,oxaliplatin,22,0.0187, 1.0,0,0,0,5,6
1388796,leucovorin,22,0.0187, 1.0,0,0,0,5,6
1321341,norepinephrine,21,0.0178, 1.0,0,0,0,5,6
701322,memantine,21,0.0178, 1.0,0,0,0,5,6
