CDM_TABLE_NAME,CDM_FIELD_NAME,SOURCE_VALUE,RECORD_COUNT
observation,observation_source_value,62564004,20
observation,observation_source_value,40095003,12
drug_exposure,drug_source_value,6072007,5
drug_exposure,drug_source_value,36971009,82
drug_exposure,drug_source_value,431855005,37
drug_exposure,drug_source_value,67782005,26
measurement,unit_source_value,{score},15026
observation,observation_source_value,43878008,154
observation,observation_source_value,185086009,14
drug_exposure,drug_source_value,234466008,8
observation,observation_source_value,230690007,60
drug_exposure,drug_source_value,95417003,2
person,ethnicity_source_value,nonhispanic,1068
observation,observation_source_value,80394007,49
drug_exposure,drug_source_value,201834006,18
observation,observation_source_value,22298006,26
measurement,unit_source_value,{INR},1169
observation,observation_source_value,446096008,32
drug_exposure,drug_source_value,263102004,38
drug_exposure,drug_source_value,236077008,5
drug_exposure,drug_source_value,49727002,618
drug_exposure,drug_source_value,239873007,58
observation,observation_source_value,90781000119102,2
drug_exposure,drug_source_value,271737000,356
drug_exposure,drug_source_value,249497008,65
drug_exposure,drug_source_value,444814009,1255
observation,observation_source_value,403192003,3
drug_exposure,drug_source_value,3,209
observation,observation_source_value,24079001,23
drug_exposure,drug_source_value,48333001,1
observation,observation_source_value,72892002,512
observation,observation_source_value,55822004,121
observation,observation_source_value,444448004,9
observation,observation_source_value,271825005,172
condition_occurrence,condition_source_value,48333001,1
measurement,unit_source_value,n/a,341
drug_exposure,drug_source_value,703151001,36
drug_exposure,drug_source_value,43878008,154
measurement,unit_source_value,{T-score},78
observation,observation_source_value,76571007,19
observation,observation_source_value,39848009,56
visit_occurrence,discharge_to_source_value,,51819
observation,observation_source_value,88805009,37
observation,observation_source_value,70704007,45
drug_exposure,drug_source_value,26929004,29
observation,observation_source_value,84229001,348
observation,observation_source_value,284549007,29
drug_exposure,drug_source_value,399211009,26
observation,observation_source_value,95417003,2
observation,observation_source_value,307731004,14
condition_occurrence,condition_source_value,429007001,36
drug_exposure,drug_source_value,840539006,881
drug_exposure,drug_source_value,115,130
drug_exposure,drug_source_value,52,311
drug_exposure,drug_source_value,22253000,2
drug_exposure,drug_source_value,414667000,2
drug_exposure,drug_source_value,403190006,32
drug_exposure,drug_source_value,267060006,48
observation,observation_source_value,239720000,5
drug_exposure,drug_source_value,92691004,17
drug_exposure,drug_source_value,83664006,5
drug_exposure,drug_source_value,80394007,49
observation,observation_source_value,36971009,82
condition_occurrence,condition_source_value,300916003,2
observation,observation_source_value,58150001,34
drug_exposure,drug_source_value,192127007,19
drug_exposure,drug_source_value,128613002,36
drug_exposure,drug_source_value,443165006,19
observation,qualifier_source_value,,16069
observation,observation_source_value,196416002,46
drug_exposure,drug_source_value,65710008,91
observation,observation_source_value,15777000,362
drug_exposure,drug_source_value,221360009,2
observation,observation_source_value,68962001,157
condition_occurrence,condition_source_value,288959006,1
observation,observation_source_value,110030002,6
drug_exposure,drug_source_value,8,280
observation,observation_source_value,127013003,37
drug_exposure,drug_source_value,195662009,722
drug_exposure,drug_source_value,254637007,13
drug_exposure,drug_source_value,10509002,584
measurement,unit_source_value,,6918
condition_occurrence,condition_source_value,449868002,9
observation,observation_source_value,35999006,18
observation,observation_source_value,44054006,87
drug_exposure,drug_source_value,162864005,492
drug_exposure,drug_source_value,68566005,2
condition_occurrence,condition_source_value,428251008,62
drug_exposure,drug_source_value,706870000,58
observation,observation_source_value,57676002,157
drug_exposure,drug_source_value,55680006,38
visit_occurrence,admitting_source_value,,51819
observation,observation_source_value,236077008,5
observation,observation_source_value,263102004,38
drug_exposure,drug_source_value,59621000,321
drug_exposure,drug_source_value,239872002,21
observation,observation_source_value,93761005,3
drug_exposure,drug_source_value,1551000119108,15
observation,observation_source_value,283371005,35
observation,observation_source_value,65966004,34
observation,observation_source_value,195967001,5
drug_exposure,drug_source_value,90560007,10
drug_exposure,drug_source_value,132281000119108,52
drug_exposure,drug_source_value,406602003,1
observation,observation_source_value,128613002,36
observation,observation_source_value,262574004,6
drug_exposure,drug_source_value,403191005,25
measurement,unit_source_value,ng/dl,3
observation,observation_source_value,230265002,8
observation,observation_source_value,10509002,584
observation,observation_source_value,284551006,26
condition_occurrence,condition_source_value,840544004,913
observation,observation_source_value,47693006,15
drug_exposure,drug_source_value,190905008,1
drug_exposure,drug_source_value,68496003,99
observation,observation_source_value,132281000119108,52
observation,observation_source_value,246677007,5
observation,observation_source_value,40055000,263
drug_exposure,drug_source_value,422587007,65
condition_occurrence,condition_source_value,162864005,492
drug_exposure,drug_source_value,110359009,3
drug_exposure,drug_source_value,72892002,512
drug_exposure,drug_source_value,65966004,34
drug_exposure,drug_source_value,398254007,24
drug_exposure,drug_source_value,143975,1
observation,observation_source_value,248595008,312
observation,observation_source_value,403190006,32
drug_exposure,route_source_value,,84037
drug_exposure,drug_source_value,5602001,13
observation,observation_source_value,15724005,1
observation,observation_source_value,26929004,29
observation,observation_source_value,267060006,48
drug_exposure,drug_source_value,27942005,3
drug_exposure,drug_source_value,197927001,18
observation,observation_source_value,126906006,18
observation,observation_source_value,190905008,1
drug_exposure,drug_source_value,55822004,121
drug_exposure,drug_source_value,24079001,23
drug_exposure,drug_source_value,156073000,39
drug_exposure,drug_source_value,38822007,24
observation,observation_source_value,30832001,7
drug_exposure,drug_source_value,109838007,9
drug_exposure,drug_source_value,235389,10
observation,observation_source_value,424132000,13
observation,observation_source_value,6072007,5
drug_exposure,drug_source_value,62106007,68
observation,observation_source_value,53741008,59
drug_exposure,drug_source_value,86175003,13
observation,observation_source_value,399912005,2
drug_exposure,drug_source_value,403192003,3
