analysis_id,analysis_name,elapsed_seconds
10,Number of all persons by year of birth by gender,1.50
501,"Number of records of death, by cause_concept_id",0.03
1407,Length of payer plan (days) of first payer plan period by age decile,0.04
1409,Number of persons with continuous payer plan in each year,0.04
1813,Number of measurement records with invalid visit_id,0.05
2200,Number of persons with at least one note by  note_type_concept_id,0.03
810,Number of observation records outside valid observation period,0.02
620,Number of procedure occurrence records  by procedure occurrence start month,1.00
416,"Number of condition occurrence records, by condition_status_concept_id, condition_type_concept_id",1.57
200,"Number of persons with at least one visit occurrence, by visit_concept_id",0.03
920,Number of drug era records by drug era start month,0.03
420,Number of condition occurrence records by condition occurrence start month,0.02
2131,Proportion of people with at least one device_exposure record outside a valid observation period,0.03
600,"Number of persons with at least one procedure occurrence, by procedure_concept_id",0.02
800,"Number of persons with at least one observation occurrence, by observation_concept_id",0.04
117,Number of persons with at least one day of observation in each month,1.22
530,Number of death records inside a valid observation period,0.03
700,"Number of persons with at least one drug exposure, by drug_concept_id",0.91
1820,Number of measurement records  by measurement start month,0.88
904,"Number of persons with at least one drug era, by drug_concept_id by calendar year by gender by age decile",0.02
1827,Number of measurement records by unit_concept_id,0.08
823,"Number of observation records, by observation_concept_id and qualifier_concept_id",2.22
510,Number of death records outside valid observation period,0.04
812,Number of observation records with invalid provider_id,0.02
1006,Distribution of age by condition_concept_id,1.00
702,"Number of persons by drug exposure start month, by drug_concept_id",0.09
2002,"Number of patients with at least 1 Meas, 1 Dx and 1 Rx",0.98
1003,Number of distinct condition era concepts per person,1.12
1303,Number of distinct visit detail concepts per person,0.99
513,Distribution of time from death to last visit,0.07
604,"Number of persons with at least one procedure occurrence, by procedure_concept_id by calendar year by gender by age decile",2.33
609,Number of procedure occurrence records with invalid person_id,0.75
220,Number of visit occurrence records by visit occurrence start month,0.88
2102,"Number of persons by device records  start month, by device_concept_id",1.82
400,"Number of persons with at least one condition occurrence, by condition_concept_id",0.02
409,Number of condition occurrence records with invalid person_id,0.04
1100,Number of persons by location 3-digit zip,0.01
115,Number of persons with observation period end < observation period start,0.02
703,Number of distinct drug exposure concepts per person,0.10
1007,"Distribution of condition era length, by condition_concept_id",0.11
610,Number of procedure occurrence records outside valid observation period,0.05
1306,Distribution of age by visit_detail_concept_id,0.99
209,Number of visit records with invalid care_site_id,1.45
1002,"Number of persons by condition era start month, by condition_concept_id",0.06
401,"Number of condition occurrence records, by condition_concept_id",0.02
1020,Number of condition era records by condition era start month,0.07
704,"Number of persons with at least one drug exposure, by drug_concept_id by calendar year by gender by age decile",0.79
500,"Number of persons with death, by cause_concept_id",0.09
822,"Number of observation records, by observation_concept_id and value_as_concept_id",0.02
625,Number of procedure_occurrence records by procedure_source_concept_id,0.03
402,"Number of persons by condition occurrence start month, by condition_concept_id",0.04
1001,"Number of condition era records, by condition_concept_id",2.61
1810,Number of measurement records outside valid observation period,0.05
891,Percentage of total persons that have at least x observations,0.01
106,Length of observation (days) of first observation period by gender,0.89
1103,Number of care sites by location state,0.05
1310,Number of visit_detail records outside a valid observation period,0.02
202,"Number of persons by visit occurrence start month, by visit_concept_id",0.06
1321,Number of persons by visit start year,0.07
101,"Number of persons by age, with age at first observation period",0.04
110,Number of persons with continuous observation in each month,0.03
108,"Number of persons by length of observation period, in 30d increments",0.04
931,Proportion of people with at least one drug_era record outside a valid observation period,1.06
1803,Number of distinct mesurement occurrence concepts per person,0.10
1821,Number of measurement records with no numeric value,0.07
830,Number of observation records inside a valid observation period,0.02
