CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,P25_VALUE,MEDIAN_VALUE,P75_VALUE,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
37311061,Disease caused by 2019-nCoV,1320,0.7513,1.1,15,22,30,1,1
437663,Fever,1199,0.6824,1.1,15,22,30,1,2
40481087,Viral sinusitis,1123,0.6392,1.7,12,17,22,1,1
254761,Cough,913,0.5196,1.1,15,22,30,1,2
4112343,Acute viral pharyngitis,781,0.4445,1.4,9,10,12,1,1
260139,Acute bronchitis,683,0.3887,1.3,10,13,17,1,1
4289517,Loss of taste,661,0.3762,1.1,15,22,29,1,2
4223659,Fatigue,516,0.2937,1.0,15,22,30,1,5
4311629,Impaired glucose tolerance,484,0.2755,1.0,1,1,1,1,5
439777,Anemia,473,0.2692,1.0,1,1,1,1,5
4089228,Sputum finding,465,0.2647,1.1,14,22,29,1,2
320128,Essential hypertension,410,0.2334,1.0,1,1,1,1,5
257012,Chronic sinusitis,344,0.1958,1.1,1,1,1,1,2
4217975,Normal pregnancy,314,0.1787,2.6,27,210,217,1,1
255848,Pneumonia,309,0.1759,1.0,8,10,12,1,5
4078393,Miscarriage in first trimester,298,0.1696,1.0,1,1,1,1,5
314754,Wheezing,293,0.1668,1.0,11,17,26,1,5
312437,Dyspnea,293,0.1668,1.0,11,17,26,1,5
4158346,Respiratory distress,288,0.1639,1.1,8,10,12,2,2
437390,Hypoxemia,288,0.1639,1.1,1,1,1,2,2
4132891,Chronic low back pain,281,0.1599,1.0,1,1,1,2,5
28060,Streptococcal sore throat,220,0.1252,1.1,9,10,12,2,2
43530622,Chronic neck pain,200,0.1138,1.1,1,1,1,2,2
77074,Joint pain,199,0.1133,1.0,12,20,28,2,5
378253,Headache,199,0.1133,1.1,14,21,29,2,2
442752,Muscle pain,199,0.1133,1.0,12,20,28,2,5
372328,Otitis media,192,0.1093,1.4,43,96,171,2,1
432867,Hyperlipidemia,189,0.1076,1.0,1,1,1,2,5
4147326,Sore throat symptom,186,0.1059,1.1,16,22,29,2,2
81151,Sprain of ankle,171,0.0973,1.1,20,28,36,2,2
434490,Chill,169,0.0962,1.0,13,21,29,2,6
4285898,Polyp of colon,127,0.0723,1.3,1,420,476,2,1
319049,Acute respiratory failure,125,0.0711,1.0,1,9,11,2,6
378001,Concussion with no loss of consciousness,111,0.0632,1.1,45,60,75,2,2
36674642,Sepsis caused by virus,107,0.0609,1.1,1,1,11,2,2
4120314,Hypertriglyceridemia,99,0.0563,1.0,1,1,1,2,6
436940,Metabolic syndrome X,98,0.0558,1.0,1,1,1,3,6
201826,Type 2 diabetes mellitus,95,0.0541,1.0,1,1,1,3,6
4294548,Acute bacterial sinusitis,93,0.0529,1.1,21,51,83,3,2
45768439,Acute pulmonary embolism,93,0.0529,1.0,1,2,4,3,6
4283893,Sinusitis,92,0.0524,1.1,39,74,111,3,2
317576,Coronary arteriosclerosis,89,0.0506,1.1,1,1,1,3,2
80502,Osteoporosis,85,0.0484,1.1,1,1,1,3,2
4208104,Drug overdose,85,0.0484,1.0,1,1,1,3,6
44782746,Acute deep venous thrombosis,85,0.0484,1.0,1,2,4,3,6
436096,Chronic pain,83,0.0472,1.0,1,1,1,3,6
43530652,Chronic intractable migraine without aura,83,0.0472,1.0,1,1,1,3,6
4055754,Impacted molars,82,0.0467,1.0,1,1,1,3,6
440448,Appendicitis,82,0.0467,1.0,1,1,1,3,6
4079750,Osteoarthritis of knee,81,0.0461,1.0,1,1,1,3,6
381316,Cerebrovascular accident,80,0.0455,1.0,1,1,1,3,6
4218389,Whiplash injury to neck,74,0.0421,1.1,25,31,37,3,3
78272,Sprain of wrist,74,0.0421,1.1,19,28,36,3,3
4029498,Seizure disorder,71,0.0404,1.1,1,1,1,3,3
31967,Nausea,64,0.0364,1.0,13,19,26,4,6
4096715,Vomiting symptom,64,0.0364,1.0,13,19,26,4,6
4278672,Fracture of forearm,60,0.0342,1.1,54,77,96,4,3
313217,Atrial fibrillation,58,0.0330,1.1,1,1,1,4,3
4195085,Nasal congestion,58,0.0330,1.0,14,20,26,4,6
