analysis_id,analysis_name,elapsed_seconds
0,Source name, 0.05
1,Number of persons, 0.02
2,Number of persons by gender, 0.01
3,Number of persons by year of birth, 0.05
4,Number of persons by race, 0.06
5,Number of persons by ethnicity, 0.01
7,Number of persons with invalid provider_id, 0.03
8,Number of persons with invalid location_id, 0.02
9,Number of persons with invalid care_site_id, 0.08
10,Number of all persons by year of birth by gender, 0.02
11,Number of non-deceased persons by year of birth by gender, 0.03
12,Number of persons by race and ethnicity, 0.16
101,"Number of persons by age, with age at first observation period", 0.03
102,"Number of persons by gender by age, with age at first observation period", 0.01
103,Distribution of age at first observation period, 0.03
104,Distribution of age at first observation period by gender, 0.08
105,Length of observation (days) of first observation period, 0.41
106,Length of observation (days) of first observation period by gender, 0.34
107,Length of observation (days) of first observation period by age decile, 0.19
108,"Number of persons by length of observation period, in 30d increments", 0.02
109,Number of persons with continuous observation in each year, 0.18
110,Number of persons with continuous observation in each month, 0.30
111,Number of persons by observation period start month, 0.02
112,Number of persons by observation period end month, 0.01
113,Number of persons by number of observation periods, 0.01
114,Number of persons with observation period before year-of-birth, 0.01
115,Number of persons with observation period end < observation period start, 0.01
116,Number of persons with at least one day of observation in each year by gender and age decile, 0.15
117,Number of persons with at least one day of observation in each month, 1.90
118,Number of observation periods with invalid person_id, 0.01
119,Number of observation period records by period_type_concept_id, 0.03
200,"Number of persons with at least one visit occurrence, by visit_concept_id", 0.20
201,"Number of visit occurrence records, by visit_concept_id", 0.04
202,"Number of persons by visit occurrence start month, by visit_concept_id", 0.12
203,Number of distinct visit occurrence concepts per person, 0.12
204,"Number of persons with at least one visit occurrence, by visit_concept_id by calendar year by gender by age decile", 0.16
206,Distribution of age by visit_concept_id, 0.13
207,Number of visit records with invalid person_id, 0.02
208,Number of visit records outside valid observation period, 0.02
209,Number of visit records with end date < start date, 0.02
210,Number of visit records with invalid care_site_id, 0.02
211,Distribution of length of stay by visit_concept_id, 0.15
212,"Number of persons with at least one visit occurrence, by calendar year by gender by age decile", 0.13
220,Number of visit occurrence records by visit occurrence start month, 0.12
221,Number of persons by visit start year, 0.08
225,Number of visit_occurrence records by visit_source_concept_id, 0.04
226,Number of records by domain by visit_concept_id, 1.22
300,Number of providers, 0.02
301,Number of providers by specialty concept_id, 0.02
302,Number of providers with invalid care site id, 0.03
325,Number of provider records by specialty_source_concept_id, 0.02
400,"Number of persons with at least one condition occurrence, by condition_concept_id", 0.03
401,"Number of condition occurrence records, by condition_concept_id", 0.02
402,"Number of persons by condition occurrence start month, by condition_concept_id", 0.09
403,Number of distinct condition occurrence concepts per person, 0.10
404,"Number of persons with at least one condition occurrence, by condition_concept_id by calendar year by gender by age decile", 0.10
405,"Number of condition occurrence records, by condition_concept_id by condition_type_concept_id", 0.02
406,Distribution of age by condition_concept_id, 0.27
409,Number of condition occurrence records with invalid person_id, 0.01
410,Number of condition occurrence records outside valid observation period, 0.11
411,Number of condition occurrence records with end date < start date, 0.01
412,Number of condition occurrence records with invalid provider_id, 0.01
413,Number of condition occurrence records with invalid visit_id, 0.04
420,Number of condition occurrence records by condition occurrence start month, 0.03
425,Number of condition_occurrence records by condition_source_concept_id, 0.02
500,"Number of persons with death, by cause_concept_id", 0.01
501,"Number of records of death, by cause_concept_id", 0.01
502,Number of persons by death month, 0.01
504,"Number of persons with a death, by calendar year by gender by age decile", 0.16
505,"Number of death records, by death_type_concept_id", 0.02
506,Distribution of age at death by gender, 0.04
