domain,date,records
Condition era,1911-04-01T00:00:00Z,1
Condition era,1915-11-01T00:00:00Z,1
Condition era,1916-04-01T00:00:00Z,1
Condition era,1917-10-01T00:00:00Z,1
Condition era,1921-05-01T00:00:00Z,1
Condition era,1921-12-01T00:00:00Z,1
Condition era,1922-07-01T00:00:00Z,1
Condition era,1925-05-01T00:00:00Z,1
Condition era,1925-09-01T00:00:00Z,1
Condition era,1928-08-01T00:00:00Z,1
Condition era,1929-08-01T00:00:00Z,1
Condition era,1930-06-01T00:00:00Z,2
Condition era,1930-08-01T00:00:00Z,1
Condition era,1930-11-01T00:00:00Z,1
Condition era,1930-12-01T00:00:00Z,3
Condition era,1931-04-01T00:00:00Z,1
Condition era,1931-10-01T00:00:00Z,1
Condition era,1932-08-01T00:00:00Z,1
Condition era,1932-10-01T00:00:00Z,2
Condition era,1933-06-01T00:00:00Z,1
Condition era,1933-12-01T00:00:00Z,1
Condition era,1934-01-01T00:00:00Z,1
Condition era,1934-02-01T00:00:00Z,1
Condition era,1934-05-01T00:00:00Z,1
Condition era,1935-07-01T00:00:00Z,2
Condition era,1936-04-01T00:00:00Z,3
Condition era,1936-09-01T00:00:00Z,1
Condition era,1936-12-01T00:00:00Z,2
Condition era,1937-04-01T00:00:00Z,1
Condition era,1938-07-01T00:00:00Z,1
Condition era,1939-01-01T00:00:00Z,1
Condition era,1939-05-01T00:00:00Z,1
Condition era,1939-07-01T00:00:00Z,1
Condition era,1939-10-01T00:00:00Z,1
Condition era,1940-03-01T00:00:00Z,1
Condition era,1940-06-01T00:00:00Z,4
Condition era,1940-08-01T00:00:00Z,1
Condition era,1940-12-01T00:00:00Z,1
Condition era,1941-01-01T00:00:00Z,7
Condition era,1941-02-01T00:00:00Z,2
Condition era,1942-02-01T00:00:00Z,2
Condition era,1942-07-01T00:00:00Z,1
Condition era,1943-02-01T00:00:00Z,2
Condition era,1943-03-01T00:00:00Z,1
Condition era,1943-04-01T00:00:00Z,1
Condition era,1943-05-01T00:00:00Z,1
Condition era,1943-06-01T00:00:00Z,3
Condition era,1943-08-01T00:00:00Z,1
Condition era,1943-10-01T00:00:00Z,2
Condition era,1943-12-01T00:00:00Z,2
Condition era,1944-03-01T00:00:00Z,4
Condition era,1944-04-01T00:00:00Z,1
Condition era,1944-07-01T00:00:00Z,1
Condition era,1944-09-01T00:00:00Z,1
Condition era,1945-01-01T00:00:00Z,1
Condition era,1945-02-01T00:00:00Z,1
Condition era,1945-03-01T00:00:00Z,1
Condition era,1945-10-01T00:00:00Z,1
Condition era,1946-01-01T00:00:00Z,3
Condition era,1946-05-01T00:00:00Z,2
Condition era,1946-07-01T00:00:00Z,4
Condition era,1946-08-01T00:00:00Z,2
Condition era,1947-01-01T00:00:00Z,3
Condition era,1947-05-01T00:00:00Z,3
Condition era,1947-06-01T00:00:00Z,2
Condition era,1947-08-01T00:00:00Z,1
Condition era,1947-09-01T00:00:00Z,3
Condition era,1947-11-01T00:00:00Z,1
Condition era,1947-12-01T00:00:00Z,2
Condition era,1948-01-01T00:00:00Z,1
Condition era,1948-05-01T00:00:00Z,4
Condition era,1948-08-01T00:00:00Z,2
Condition era,1948-10-01T00:00:00Z,1
Condition era,1949-02-01T00:00:00Z,1
Condition era,1949-03-01T00:00:00Z,1
Condition era,1949-04-01T00:00:00Z,1
Condition era,1949-05-01T00:00:00Z,1
Condition era,1949-06-01T00:00:00Z,3
Condition era,1949-08-01T00:00:00Z,3
Condition era,1949-10-01T00:00:00Z,1
Condition era,1949-11-01T00:00:00Z,1
Condition era,1949-12-01T00:00:00Z,2
Condition era,1950-03-01T00:00:00Z,1
Condition era,1950-07-01T00:00:00Z,3
Condition era,1950-09-01T00:00:00Z,6
Condition era,1950-12-01T00:00:00Z,1
Condition era,1951-01-01T00:00:00Z,1
Condition era,1951-02-01T00:00:00Z,2
Condition era,1951-05-01T00:00:00Z,1
Condition era,1951-07-01T00:00:00Z,3
Condition era,1951-09-01T00:00:00Z,1
Condition era,1951-11-01T00:00:00Z,3
Condition era,1952-01-01T00:00:00Z,4
Condition era,1952-03-01T00:00:00Z,1
Condition era,1952-05-01T00:00:00Z,1
Condition era,1952-07-01T00:00:00Z,3
Condition era,1952-08-01T00:00:00Z,1
Condition era,1952-10-01T00:00:00Z,1
Condition era,1953-01-01T00:00:00Z,1
Condition era,1953-02-01T00:00:00Z,2
Condition era,1953-05-01T00:00:00Z,3
Condition era,1953-07-01T00:00:00Z,2
Condition era,1953-09-01T00:00:00Z,2
Condition era,1953-10-01T00:00:00Z,2
Condition era,1953-11-01T00:00:00Z,2
Condition era,1953-12-01T00:00:00Z,1
Condition era,1954-01-01T00:00:00Z,1
Condition era,1954-03-01T00:00:00Z,2
Condition era,1954-04-01T00:00:00Z,1
Condition era,1954-05-01T00:00:00Z,1
Condition era,1954-07-01T00:00:00Z,1
Condition era,1954-08-01T00:00:00Z,1
Condition era,1954-10-01T00:00:00Z,1
Condition era,1954-11-01T00:00:00Z,1
Condition era,1955-01-01T00:00:00Z,2
Condition era,1955-02-01T00:00:00Z,1
Condition era,1955-03-01T00:00:00Z,1
Condition era,1955-04-01T00:00:00Z,1
Condition era,1955-05-01T00:00:00Z,2
Condition era,1955-06-01T00:00:00Z,1
Condition era,1955-08-01T00:00:00Z,2
Condition era,1955-09-01T00:00:00Z,1
Condition era,1955-10-01T00:00:00Z,1
Condition era,1955-11-01T00:00:00Z,1
Condition era,1955-12-01T00:00:00Z,2
Condition era,1956-01-01T00:00:00Z,1
Condition era,1956-02-01T00:00:00Z,1
Condition era,1956-05-01T00:00:00Z,1
Condition era,1956-06-01T00:00:00Z,1
Condition era,1956-07-01T00:00:00Z,3
Condition era,1956-08-01T00:00:00Z,6
Condition era,1956-09-01T00:00:00Z,1
Condition era,1956-10-01T00:00:00Z,1
Condition era,1956-11-01T00:00:00Z,4
Condition era,1957-02-01T00:00:00Z,1
Condition era,1957-03-01T00:00:00Z,2
