analysis_id,analysis_name,elapsed_seconds
0,Source name,0.13
1,Number of persons,0.02
2,Number of persons by gender,0.01
3,Number of persons by year of birth,0.01
4,Number of persons by race,0.02
5,Number of persons by ethnicity,0.01
7,Number of persons with invalid provider_id,0.01
8,Number of persons with invalid location_id,0.01
9,Number of persons with invalid care_site_id,0.01
10,Number of all persons by year of birth by gender,0.07
11,Number of non-deceased persons by year of birth by gender,0.03
12,Number of persons by race and ethnicity,0.02
101,"Number of persons by age, with age at first observation period",0.02
102,"Number of persons by gender by age, with age at first observation period",0.02
103,Distribution of age at first observation period,0.03
104,Distribution of age at first observation period by gender,0.03
105,Length of observation (days) of first observation period,0.04
106,Length of observation (days) of first observation period by gender,0.03
107,Length of observation (days) of first observation period by age decile,0.10
108,"Number of persons by length of observation period, in 30d increments",0.01
109,Number of persons with continuous observation in each year,0.02
110,Number of persons with continuous observation in each month,0.01
111,Number of persons by observation period start month,0.02
112,Number of persons by observation period end month,0.01
113,Number of persons by number of observation periods,0.01
114,Number of persons with observation period before year-of-birth,0.01
115,Number of persons with observation period end < observation period start,0.01
116,Number of persons with at least one day of observation in each year by gender and age decile,0.03
117,Number of persons with at least one day of observation in each month,0.49
118,Number of observation periods with invalid person_id,0.01
119,Number of observation period records by period_type_concept_id,0.01
200,"Number of persons with at least one visit occurrence, by visit_concept_id",0.10
201,"Number of visit occurrence records, by visit_concept_id",0.01
202,"Number of persons by visit occurrence start month, by visit_concept_id",0.02
203,Number of distinct visit occurrence concepts per person,0.03
204,"Number of persons with at least one visit occurrence, by visit_concept_id by calendar year by gender by age decile",0.02
206,Distribution of age by visit_concept_id,0.04
207,Number of visit records with invalid person_id,0.06
208,Number of visit records outside valid observation period,0.01
209,Number of visit records with end date < start date,0.02
210,Number of visit records with invalid care_site_id,0.01
211,Distribution of length of stay by visit_concept_id,0.03
212,"Number of persons with at least one visit occurrence, by calendar year by gender by age decile",0.03
220,Number of visit occurrence records by visit occurrence start month,0.02
221,Number of persons by visit start year,0.01
225,Number of visit_occurrence records by visit_source_concept_id,0.01
226,Number of records by domain by visit_concept_id,0.12
300,Number of providers,0.01
301,Number of providers by specialty concept_id,0.01
302,Number of providers with invalid care site id,0.01
325,Number of provider records by specialty_source_concept_id,0.01
400,"Number of persons with at least one condition occurrence, by condition_concept_id",0.01
401,"Number of condition occurrence records, by condition_concept_id",0.01
402,"Number of persons by condition occurrence start month, by condition_concept_id",0.02
403,Number of distinct condition occurrence concepts per person,0.02
404,"Number of persons with at least one condition occurrence, by condition_concept_id by calendar year by gender by age decile",0.02
405,"Number of condition occurrence records, by condition_concept_id by condition_type_concept_id",0.01
406,Distribution of age by condition_concept_id,0.09
409,Number of condition occurrence records with invalid person_id,0.03
410,Number of condition occurrence records outside valid observation period,0.02
411,Number of condition occurrence records with end date < start date,0.01
412,Number of condition occurrence records with invalid provider_id,0.01
413,Number of condition occurrence records with invalid visit_id,0.01
420,Number of condition occurrence records by condition occurrence start month,0.02
424,Number of co-occurring condition_occurrence condition_concept_id pairs,0.03
425,Number of condition_occurrence records by condition_source_concept_id,0.01
500,"Number of persons with death, by cause_concept_id",0.01
501,"Number of records of death, by cause_concept_id",0.09
502,Number of persons by death month,0.01
504,"Number of persons with a death, by calendar year by gender by age decile",0.01
505,"Number of death records, by death_type_concept_id",0.01
506,Distribution of age at death by gender,0.02
509,Number of death records with invalid person_id,0.01
510,Number of death records outside valid observation period,0.01
511,Distribution of time from death to last condition,0.01
512,Distribution of time from death to last drug,0.03
513,Distribution of time from death to last visit,0.02
514,Distribution of time from death to last procedure,0.06
515,Distribution of time from death to last observation,0.02
525,Number of death records by cause_source_concept_id,0.02
600,"Number of persons with at least one procedure occurrence, by procedure_concept_id",0.01
601,"Number of procedure occurrence records, by procedure_concept_id",0.01
602,"Number of persons by procedure occurrence start month, by procedure_concept_id",0.03
603,Number of distinct procedure occurrence concepts per person,0.03
604,"Number of persons with at least one procedure occurrence, by procedure_concept_id by calendar year by gender by age decile",0.02
605,"Number of procedure occurrence records, by procedure_concept_id by procedure_type_concept_id",0.01
606,Distribution of age by procedure_concept_id,0.11
609,Number of procedure occurrence records with invalid person_id,0.01
610,Number of procedure occurrence records outside valid observation period,0.01
612,Number of procedure occurrence records with invalid provider_id,0.01
613,Number of procedure occurrence records with invalid visit_id,0.01
620,Number of procedure occurrence records  by procedure occurrence start month,0.01
624,Number of co-occurring procedure_occurrence procedure_concept_id pairs,0.03
625,Number of procedure_occurrence records by procedure_source_concept_id,0.01
691,Percentage of total persons that have at least x procedures,0.01
700,"Number of persons with at least one drug exposure, by drug_concept_id",0.01
701,"Number of drug exposure records, by drug_concept_id",0.12
702,"Number of persons by drug exposure start month, by drug_concept_id",0.05
703,Number of distinct drug exposure concepts per person,0.04
704,"Number of persons with at least one drug exposure, by drug_concept_id by calendar year by gender by age decile",0.04
705,"Number of drug exposure records, by drug_concept_id by drug_type_concept_id",0.05
706,Distribution of age by drug_concept_id,0.04
709,Number of drug exposure records with invalid person_id,0.01
710,Number of drug exposure records outside valid observation period,0.01
711,Number of drug exposure records with end date < start date,0.01
712,Number of drug exposure records with invalid provider_id,0.01
713,Number of drug exposure records with invalid visit_id,0.01
715,Distribution of days_supply by drug_concept_id,0.04
716,Distribution of refills by drug_concept_id,0.10
717,Distribution of quantity by drug_concept_id,0.03
720,Number of drug exposure records  by drug exposure start month,0.02
724,Number of co-occurring drug_exposure drug_concept_id pairs,0.03
725,Number of drug_exposure records by drug_source_concept_id,0.01
791,Percentage of total persons that have at least x drug exposures,0.01
800,"Number of persons with at least one observation occurrence, by observation_concept_id",0.01
801,"Number of observation occurrence records, by observation_concept_id",0.01
802,"Number of persons by observation occurrence start month, by observation_concept_id",0.01
803,Number of distinct observation occurrence concepts per person,0.02
804,"Number of persons with at least one observation occurrence, by observation_concept_id by calendar year by gender by age decile",0.09
805,"Number of observation occurrence records, by observation_concept_id by observation_type_concept_id",0.01
806,Distribution of age by observation_concept_id,0.04
807,"Number of observation occurrence records, by observation_concept_id and unit_concept_id",0.01
809,Number of observation records with invalid person_id,0.01
810,Number of observation records outside valid observation period,0.01
812,Number of observation records with invalid provider_id,0.01
813,Number of observation records with invalid visit_id,0.01
814,"Number of observation records with no value (numeric, string, or concept)",0.01
815,"Distribution of numeric values, by observation_concept_id and unit_concept_id",0.04
820,Number of observation records  by observation start month,0.10
822,"Number of observation records, by observation_concept_id and value_as_concept_id",0.02
823,"Number of observation records, by observation_concept_id and qualifier_concept_id",0.01
824,Number of co-occurring observation observation_concept_id pairs,0.02
825,Number of observation records by observation_source_concept_id,0.01
826,Number of observation records by value_as_concept_id,0.01
827,Number of observation records by unit_concept_id,0.01
891,Percentage of total persons that have at least x observations,0.01
900,"Number of persons with at least one drug era, by drug_concept_id",0.02
901,"Number of drug era records, by drug_concept_id",0.02
902,"Number of persons by drug era start month, by drug_concept_id",0.05
903,Number of distinct drug era concepts per person,0.02
904,"Number of persons with at least one drug era, by drug_concept_id by calendar year by gender by age decile",0.02
906,Distribution of age by drug_concept_id,0.04
907,"Distribution of drug era length, by drug_concept_id",0.03
908,Number of drug eras without valid person,0.01
909,Number of drug eras outside valid observation period,0.01
910,Number of drug eras with end date < start date,0.01
920,Number of drug era records  by drug era start month,0.13
1000,"Number of persons with at least one condition era, by condition_concept_id",0.01
1001,"Number of condition era records, by condition_concept_id",0.01
1002,"Number of persons by condition era start month, by condition_concept_id",0.02
1003,Number of distinct condition era concepts per person,0.02
1004,"Number of persons with at least one condition era, by condition_concept_id by calendar year by gender by age decile",0.02
1006,Distribution of age by condition_concept_id,0.05
1007,"Distribution of condition era length, by condition_concept_id",0.03
1008,Number of condition eras without valid person,0.05
1009,Number of condition eras outside valid observation period,0.01
