CDM_TABLE_NAME,CDM_FIELD_NAME,SOURCE_VALUE,RECORD_COUNT
observation,observation_source_value,84114007,1
drug_exposure,drug_source_value,35999006,3
drug_exposure,drug_source_value,49,45
measurement,measurement_source_value,40617009,2
drug_exposure,drug_source_value,114,43
condition_occurrence,condition_source_value,429007001,2
measurement,measurement_source_value,228557008,35
drug_exposure,drug_source_value,84229001,37
drug_exposure,drug_source_value,422587007,5
drug_exposure,drug_source_value,43878008,17
observation,observation_source_value,68962001,9
drug_exposure,drug_source_value,195662009,78
drug_exposure,drug_source_value,39848009,6
observation,observation_source_value,72892002,52
drug_exposure,drug_source_value,368581000119106,1
person,ethnicity_source_value,nonhispanic,103
drug_exposure,drug_source_value,263102004,2
condition_occurrence,condition_source_value,703151001,4
measurement,measurement_source_value,396487001,1
observation,observation_source_value,36955009,45
drug_exposure,drug_source_value,84114007,1
visit_occurrence,discharge_to_source_value,,5030
observation,observation_source_value,90781000119102,1
drug_exposure,drug_source_value,267036007,25
observation,observation_source_value,424132000,3
measurement,measurement_source_value,QALY,994
measurement,measurement_source_value,76690-7,2
drug_exposure,drug_source_value,284549007,6
drug_exposure,drug_source_value,68235000,4
observation,observation_source_value,59621000,23
drug_exposure,drug_source_value,62564004,4
measurement,measurement_source_value,447365002,1
drug_exposure,drug_source_value,267102003,8
drug_exposure,drug_source_value,38822007,2
observation,observation_source_value,65363002,24
drug_exposure,drug_source_value,65710008,9
observation,observation_source_value,26929004,3
observation,observation_source_value,15777000,38
observation,observation_source_value,398254007,2
drug_exposure,drug_source_value,5602001,1
measurement,measurement_source_value,418891003,3
drug_exposure,drug_source_value,192127007,2
observation,observation_source_value,127013003,4
observation,observation_source_value,359817006,3
drug_exposure,drug_source_value,67782005,6
measurement,measurement_source_value,305428000,5
measurement,measurement_source_value,762998009,3
drug_exposure,drug_source_value,65966004,5
observation,observation_source_value,91302008,4
drug_exposure,drug_source_value,198992004,3
measurement,measurement_source_value,71651007,32
observation,observation_source_value,302870006,5
measurement,measurement_source_value,714812005,10
measurement,measurement_source_value,430193006,644
observation,observation_source_value,234466008,3
observation,observation_source_value,314994000,1
observation,observation_source_value,770349000,9
measurement,measurement_source_value,243174005,2
drug_exposure,drug_source_value,197927001,2
observation,observation_source_value,57676002,9
drug_exposure,drug_source_value,703151001,4
person,ethnicity_source_value,hispanic,19
measurement,measurement_source_value,54550000,4
observation,observation_source_value,706870000,8
measurement,measurement_source_value,395142003,9
measurement,measurement_source_value,91146-1,59
drug_exposure,drug_source_value,19169002,15
measurement,measurement_source_value,76601001,111
drug_exposure,drug_source_value,36971009,3
drug_exposure,drug_source_value,431855005,4
observation,observation_source_value,35999006,3
measurement,measurement_source_value,703423002,125
drug_exposure,drug_source_value,49436004,6
condition_occurrence,condition_source_value,399211009,3
drug_exposure,drug_source_value,90560007,1
observation,observation_source_value,443165006,3
drug_exposure,drug_source_value,33,11
drug_exposure,drug_source_value,236077008,1
drug_exposure,drug_source_value,33737001,1
measurement,measurement_source_value,371908008,251
drug_exposure,drug_source_value,230690007,6
observation,observation_source_value,386661006,83
drug_exposure,drug_source_value,275272006,1
observation,observation_source_value,283385000,6
measurement,measurement_source_value,68254000,7
measurement,measurement_source_value,274804006,250
drug_exposure,drug_source_value,232353008,4
measurement,measurement_source_value,65588006,1
observation,observation_source_value,230265002,2
measurement,measurement_source_value,63513-6,2
observation,observation_source_value,68496003,9
observation,observation_source_value,43878008,17
drug_exposure,drug_source_value,444448004,2
drug_exposure,drug_source_value,40055000,28
observation,observation_source_value,79586000,1
drug_exposure,drug_source_value,271737000,36
measurement,measurement_source_value,386394001,10
observation,observation_source_value,55822004,14
drug_exposure,drug_source_value,283385000,6
drug_exposure,drug_source_value,20,71
observation,observation_source_value,403191005,1
measurement,measurement_source_value,430701006,6
drug_exposure,drug_source_value,56018004,25
measurement,measurement_source_value,75893-8,59
drug_exposure,drug_source_value,443165006,3
drug_exposure,drug_source_value,301011002,4
measurement,measurement_source_value,313191000,3
observation,observation_source_value,275272006,1
drug_exposure,drug_source_value,119,30
visit_occurrence,admitting_source_value,,5030
measurement,measurement_source_value,5880005,76
drug_exposure,drug_source_value,314994000,1
measurement,measurement_source_value,31208007,3
drug_exposure,drug_source_value,230265002,2
observation,observation_source_value,40275004,1
drug_exposure,drug_source_value,307731004,2
measurement,measurement_source_value,QOLS,994
measurement,measurement_source_value,311791003,2
drug_exposure,drug_source_value,79586000,1
measurement,measurement_source_value,431182000,246
measurement,measurement_source_value,90470006,3
observation,observation_source_value,239873007,3
drug_exposure,drug_source_value,431856006,1
measurement,measurement_source_value,19490002,4
drug_exposure,drug_source_value,386661006,83
observation,observation_source_value,39848009,6
measurement,measurement_source_value,18286008,52
observation,observation_source_value,38822007,2
drug_exposure,drug_source_value,21,26
observation,observation_source_value,389087006,21
measurement,measurement_source_value,232717009,3
measurement,measurement_source_value,88020-3,3
observation,observation_source_value,233604007,21
observation,observation_source_value,446096008,3
observation,observation_source_value,56018004,25
drug_exposure,drug_source_value,449868002,2
observation,observation_source_value,444448004,2
observation,observation_source_value,84757009,3
measurement,measurement_source_value,410006001,38
drug_exposure,drug_source_value,62,51
observation,observation_source_value,363406005,1
drug_exposure,drug_source_value,26929004,3
drug_exposure,drug_source_value,87628006,1
observation,observation_source_value,185086009,1
observation,observation_source_value,68235000,4
measurement,measurement_source_value,73761001,61
drug_exposure,drug_source_value,133,67
measurement,measurement_source_value,415070008,3
drug_exposure,drug_source_value,44465007,9
drug_exposure,route_source_value,,9293
drug_exposure,drug_source_value,6072007,1
drug_exposure,drug_source_value,713197008,2
observation,observation_source_value,410429000,2
observation,observation_source_value,33737001,1
drug_exposure,drug_source_value,43724002,13
observation,observation_source_value,367498001,1
observation,observation_source_value,248595008,27
drug_exposure,drug_source_value,84757009,3
measurement,measurement_source_value,72166-2,1369
drug_exposure,drug_source_value,233604007,21
drug_exposure,drug_source_value,156073000,3
drug_exposure,drug_source_value,367498001,1
drug_exposure,drug_source_value,126906006,6
measurement,measurement_source_value,169690007,29
drug_exposure,drug_source_value,43,25
observation,observation_source_value,262574004,2
drug_exposure,drug_source_value,363406005,1
drug_exposure,drug_source_value,52,38
measurement,measurement_source_value,71802-3,2
drug_exposure,drug_source_value,75498004,6
drug_exposure,drug_source_value,83,28
drug_exposure,drug_source_value,271825005,21
drug_exposure,drug_source_value,203082005,3
measurement,measurement_source_value,399014008,28
measurement,measurement_source_value,423475008,7
observation,observation_source_value,87628006,1
observation,observation_source_value,25064002,16
drug_exposure,drug_source_value,403192003,1
observation,observation_source_value,368581000119106,1
measurement,measurement_source_value,55277-8,2
observation,observation_source_value,236077008,1
drug_exposure,drug_source_value,58150001,2
observation,observation_source_value,22298006,3
drug_exposure,drug_source_value,91302008,4
measurement,measurement_source_value,22523008,1
measurement,measurement_source_value,225158009,250
observation,observation_source_value,431856006,1
drug_exposure,drug_source_value,80394007,4
measurement,measurement_source_value,75325-1,18
measurement,measurement_source_value,51116004,5
measurement,measurement_source_value,392021009,2
drug_exposure,drug_source_value,428251008,3
drug_exposure,drug_source_value,444470001,1
drug_exposure,drug_source_value,403191005,1
observation,observation_source_value,307731004,2
observation,observation_source_value,284549007,6
drug_exposure,drug_source_value,121,27
observation,observation_source_value,422587007,5
measurement,measurement_source_value,69453-9,19
measurement,measurement_source_value,274474001,12
measurement,measurement_source_value,698354004,3
observation,observation_source_value,1121000119107,10
observation,observation_source_value,271737000,36
observation,observation_source_value,90560007,1
drug_exposure,drug_source_value,162573006,3
measurement,measurement_source_value,169553002,19
observation,observation_source_value,267060006,3
measurement,measurement_source_value,65546002,13
measurement,measurement_source_value,433112001,3
measurement,measurement_source_value,180325003,235
measurement,measurement_source_value,10383002,10
observation,observation_source_value,80394007,4
drug_exposure,drug_source_value,65363002,24
measurement,measurement_source_value,90226004,61
measurement,measurement_source_value,167995008,1
measurement,measurement_source_value,268425006,3
