domain,date,records
Condition era,1922-10-01T00:00:00Z,1
Condition era,1923-12-01T00:00:00Z,1
Condition era,1926-04-01T00:00:00Z,1
Condition era,1928-09-01T00:00:00Z,1
Condition era,1930-10-01T00:00:00Z,1
Condition era,1932-01-01T00:00:00Z,1
Condition era,1932-12-01T00:00:00Z,1
Condition era,1933-01-01T00:00:00Z,1
Condition era,1934-01-01T00:00:00Z,1
Condition era,1934-02-01T00:00:00Z,1
Condition era,1935-04-01T00:00:00Z,1
Condition era,1937-04-01T00:00:00Z,2
Condition era,1937-12-01T00:00:00Z,1
Condition era,1938-10-01T00:00:00Z,2
Condition era,1939-02-01T00:00:00Z,2
Condition era,1941-08-01T00:00:00Z,1
Condition era,1941-09-01T00:00:00Z,1
Condition era,1941-10-01T00:00:00Z,1
Condition era,1942-03-01T00:00:00Z,2
Condition era,1943-02-01T00:00:00Z,4
Condition era,1943-10-01T00:00:00Z,1
Condition era,1944-05-01T00:00:00Z,1
Condition era,1944-10-01T00:00:00Z,1
Condition era,1944-12-01T00:00:00Z,1
Condition era,1945-06-01T00:00:00Z,1
Condition era,1946-02-01T00:00:00Z,3
Condition era,1947-04-01T00:00:00Z,1
Condition era,1947-07-01T00:00:00Z,1
Condition era,1947-12-01T00:00:00Z,1
Condition era,1948-04-01T00:00:00Z,1
Condition era,1949-01-01T00:00:00Z,1
Condition era,1949-02-01T00:00:00Z,1
Condition era,1949-07-01T00:00:00Z,3
Condition era,1949-11-01T00:00:00Z,1
Condition era,1950-04-01T00:00:00Z,7
Condition era,1950-08-01T00:00:00Z,1
Condition era,1951-07-01T00:00:00Z,1
Condition era,1952-01-01T00:00:00Z,1
Condition era,1952-05-01T00:00:00Z,2
Condition era,1952-07-01T00:00:00Z,1
Condition era,1952-12-01T00:00:00Z,1
Condition era,1953-02-01T00:00:00Z,1
Condition era,1954-01-01T00:00:00Z,3
Condition era,1954-03-01T00:00:00Z,1
Condition era,1954-04-01T00:00:00Z,1
Condition era,1954-12-01T00:00:00Z,1
Condition era,1956-05-01T00:00:00Z,2
Condition era,1957-05-01T00:00:00Z,5
Condition era,1957-11-01T00:00:00Z,1
Condition era,1958-08-01T00:00:00Z,2
Condition era,1959-03-01T00:00:00Z,1
Condition era,1959-08-01T00:00:00Z,2
Condition era,1960-06-01T00:00:00Z,2
Condition era,1960-09-01T00:00:00Z,1
Condition era,1961-03-01T00:00:00Z,2
Condition era,1961-07-01T00:00:00Z,1
Condition era,1961-09-01T00:00:00Z,1
Condition era,1962-07-01T00:00:00Z,1
Condition era,1962-09-01T00:00:00Z,2
Condition era,1963-02-01T00:00:00Z,1
Condition era,1963-03-01T00:00:00Z,1
Condition era,1963-08-01T00:00:00Z,1
Condition era,1963-09-01T00:00:00Z,1
Condition era,1964-01-01T00:00:00Z,1
Condition era,1964-05-01T00:00:00Z,1
Condition era,1965-03-01T00:00:00Z,1
Condition era,1965-09-01T00:00:00Z,1
