domain,date,records
Condition era,2013-02-01T00:00:00Z,6
Condition era,2013-03-01T00:00:00Z,6
Condition era,2013-09-01T00:00:00Z,6
Condition era,2013-10-01T00:00:00Z,8
Condition era,2014-01-01T00:00:00Z,8
Condition era,2014-02-01T00:00:00Z,34
Condition era,2014-03-01T00:00:00Z,6
Condition era,2014-07-01T00:00:00Z,6
Condition era,2014-08-01T00:00:00Z,7
Condition era,2015-02-01T00:00:00Z,6
Condition era,2015-06-01T00:00:00Z,6
Condition era,2015-07-01T00:00:00Z,6
Condition era,2015-08-01T00:00:00Z,6
Condition era,2015-12-01T00:00:00Z,6
Condition era,2016-09-01T00:00:00Z,7
Condition era,2017-08-01T00:00:00Z,6
Condition era,2017-12-01T00:00:00Z,6
Condition era,2018-02-01T00:00:00Z,7
Condition era,2018-08-01T00:00:00Z,6
Condition era,2018-09-01T00:00:00Z,7
Condition era,2019-01-01T00:00:00Z,9
Condition era,2019-03-01T00:00:00Z,6
Condition era,2019-06-01T00:00:00Z,7
Condition era,2020-02-01T00:00:00Z,113
Condition era,2020-03-01T00:00:00Z,402
Condition era,2020-06-01T00:00:00Z,9
Condition era,2020-10-01T00:00:00Z,6
Condition era,2021-09-01T00:00:00Z,11
Condition occurrence,2013-02-01T00:00:00Z,6
Condition occurrence,2013-03-01T00:00:00Z,6
Condition occurrence,2013-09-01T00:00:00Z,6
Condition occurrence,2013-10-01T00:00:00Z,8
Condition occurrence,2014-01-01T00:00:00Z,8
Condition occurrence,2014-02-01T00:00:00Z,34
Condition occurrence,2014-03-01T00:00:00Z,6
Condition occurrence,2014-07-01T00:00:00Z,6
Condition occurrence,2014-08-01T00:00:00Z,7
Condition occurrence,2015-02-01T00:00:00Z,6
Condition occurrence,2015-06-01T00:00:00Z,6
Condition occurrence,2015-07-01T00:00:00Z,6
Condition occurrence,2015-08-01T00:00:00Z,6
Condition occurrence,2015-12-01T00:00:00Z,6
Condition occurrence,2016-09-01T00:00:00Z,7
Condition occurrence,2017-08-01T00:00:00Z,6
Condition occurrence,2017-12-01T00:00:00Z,6
Condition occurrence,2018-02-01T00:00:00Z,7
Condition occurrence,2018-08-01T00:00:00Z,6
Condition occurrence,2018-09-01T00:00:00Z,7
Condition occurrence,2019-01-01T00:00:00Z,9
Condition occurrence,2019-03-01T00:00:00Z,6
Condition occurrence,2019-06-01T00:00:00Z,7
Condition occurrence,2020-02-01T00:00:00Z,113
Condition occurrence,2020-03-01T00:00:00Z,402
Condition occurrence,2020-06-01T00:00:00Z,9
