analysis_id,analysis_name,elapsed_seconds
5,Number of persons by ethnicity,0.02
610,Number of procedure occurrence records outside valid observation period,0.01
1011,Number of condition eras with end date < start date,0.01
606,Distribution of age by procedure_concept_id,0.17
825,Number of observation records by observation_source_concept_id,0.01
2110,Number of device_exposure records outside valid observation period,0.02
232,Proportion of visit_occurrence records outside a valid observation period,0.01
810,Number of observation records outside valid observation period,0.01
207,Number of visit records with invalid person_id,0.01
831,Proportion of people with at least one observation record outside a valid observation period,0.01
600,"Number of persons with at least one procedure occurrence, by procedure_concept_id",0.01
1409,Number of persons with continuous payer plan in each year,0.01
512,Distribution of time from death to last drug,0.02
1823,"Number of measurement records, by measurement_concept_id and operator_concept_id",0.10
2004,Number of distinct patients that overlap between specific domains,0.11
402,"Number of persons by condition occurrence start month, by condition_concept_id",0.02
2,Number of persons by gender,0.01
703,Number of distinct drug exposure concepts per person,0.16
1004,"Number of persons with at least one condition era, by condition_concept_id by calendar year by gender by age decile",0.02
1406,Length of payer plan (days) of first payer plan period by gender,0.02
1325,Number of visit_detail records by visit_detail_source_concept_id,0.02
117,Number of persons with at least one day of observation in each month,0.18
812,Number of observation records with invalid provider_id,0.02
1102,Number of care sites by location 3-digit zip,0.01
1301,"Number of visit detail records, by visit_detail_concept_id",0.01
406,Distribution of age by condition_concept_id,0.06
931,Proportion of people with at least one drug_era record outside a valid observation period,0.02
202,"Number of persons by visit occurrence start month, by visit_concept_id",0.02
702,"Number of persons by drug exposure start month, by drug_concept_id",0.02
705,"Number of drug exposure records, by drug_concept_id by drug_type_concept_id",0.01
112,Number of persons by observation period end month,0.01
2002,"Number of patients with at least 1 Meas, 1 Dx and 1 Rx",0.03
1100,Number of persons by location 3-digit zip,0.01
631,Proportion of people with at least one procedure_occurrence record outside a valid observation period,0.01
1414,Number of persons with payer plan period before year-of-birth,0.01
1306,Distribution of age by visit_detail_concept_id,0.16
815,"Distribution of numeric values, by observation_concept_id and unit_concept_id",0.04
412,Number of condition occurrence records with invalid provider_id,0.02
720,Number of drug exposure records  by drug exposure start month,0.02
2106,Distribution of age by device_concept_id,0.04
2125,Number of device_exposure records by device_source_concept_id,0.01
110,Number of persons with continuous observation in each month,0.01
1821,Number of measurement records with no numeric value,0.02
1412,Number of persons by payer plan period end month,0.01
1413,Number of persons by number of payer plan periods,0.01
405,"Number of condition occurrence records, by condition_concept_id by condition_type_concept_id",0.01
612,Number of procedure occurrence records with invalid provider_id,0.02
404,"Number of persons with at least one condition occurrence, by condition_concept_id by calendar year by gender by age decile",0.15
2201,"Number of note records, by note_type_concept_id",0.01
725,Number of drug_exposure records by drug_source_concept_id,0.01
111,Number of persons by observation period start month,0.01
715,Distribution of days_supply by drug_concept_id,0.03
891,Percentage of total persons that have at least x observations,0.01
1826,Number of measurement records by value_as_concept_id,0.03
932,Proportion of drug_era records outside a valid observation period,0.01
1820,Number of measurement records  by measurement start month,0.03
1321,Number of persons by visit start year,0.02
425,Number of condition_occurrence records by condition_source_concept_id,0.02
620,Number of procedure occurrence records  by procedure occurrence start month,0.01
300,Number of providers,0.01
1891,Percentage of total persons that have at least x measurements,0.07
822,"Number of observation records, by observation_concept_id and value_as_concept_id",0.01
832,Proportion of observation records outside a valid observation period,0.01
1326,Number of records by domain by visit_detail_concept_id,0.07
3,Number of persons by year of birth,0.03
1202,Number of care sites by place of service,0.01
732,Proportion of drug_exposure records outside a valid observation period,0.01
1320,Number of visit detail records by visit detail start month,0.02
1700,Number of records by cohort_concept_id,0.01
711,Number of drug exposure records with end date < start date,0.01
1803,Number of distinct mesurement occurrence concepts per person,0.04
505,"Number of death records, by death_type_concept_id",0.01
823,"Number of observation records, by observation_concept_id and qualifier_concept_id",0.01
4,Number of persons by race,0.01
513,Distribution of time from death to last visit,0.03
1031,Proportion of people with at least one condition_era record outside a valid observation period,0.09
8,Number of persons with invalid location_id,0.01
1200,Number of persons by place of service,0.01
1002,"Number of persons by condition era start month, by condition_concept_id",0.02
